start,end,ninf
2020-10-31,2020-10-31,39700
2020-11-08,2020-11-08,33800
2020-11-15,2020-11-15,45700
2020-11-22,2020-11-22,40900
2020-11-29,2020-11-29,43300
2020-12-06,2020-12-06,52500
2020-12-12,2020-12-12,37100
2020-12-16,2020-12-16,36100
2020-12-27,2020-12-27,45900
2021-01-03,2021-01-03,55700
2021-01-10,2021-01-10,52200
2021-01-17,2021-01-17,48500
2021-01-24,2021-01-24,46100
2021-01-31,2021-01-31,35400
2021-02-06,2021-02-06,29200
2021-02-13,2021-02-13,23400
2021-02-21,2021-02-21,15600
2021-02-28,2021-02-28,16600
2021-03-07,2021-03-07,19300
2021-03-14,2021-03-14,21500
2021-03-21,2021-03-21,16600
2021-03-28,2021-03-28,13000
2021-04-04,2021-04-04,10500
2021-04-10,2021-04-10,9300
2021-04-18,2021-04-18,8200
2021-04-26,2021-04-26,6900
2021-05-02,2021-05-02,4200
2021-05-09,2021-05-09,2700
2021-05-16,2021-05-16,8300
2021-05-23,2021-05-23,7700
2021-05-30,2021-05-30,9700
2021-06-06,2021-06-06,8800
2021-06-13,2021-06-13,24400
2021-06-20,2021-06-20,35900
2021-06-27,2021-06-27,53200
2021-07-04,2021-07-04,60000
2021-07-11,2021-07-11,65100
2021-07-18,2021-07-18,49500
2021-07-25,2021-07-25,43000
2021-08-01,2021-08-01,28100
2021-08-08,2021-08-08,25900
2021-08-14,2021-08-14,36700
2021-08-22,2021-08-22,69500
2021-08-28,2021-08-28,117300
2021-09-05,2021-09-05,120800
2021-09-12,2021-09-12,120200
2021-09-19,2021-09-19,97700
2021-09-26,2021-09-26,84900
2021-10-03,2021-10-03,66600
2021-10-10,2021-10-10,60100
2021-10-17,2021-10-17,71500
2021-10-24,2021-10-24,66000
2021-10-31,2021-10-31,62100
2021-11-07,2021-11-07,56000
2021-11-14,2021-11-14,75900
2021-11-21,2021-11-21,83300
2021-11-26,2021-11-26,65200
